"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"Touhou Reiiden ~ The Highly Responsive to Prayers","Emulated","","","","","","","X","","","","2023-10-05","First-Play","--","1:52:00","Bad Ending #1 Normal Difficulty","--","","--","","--","","--","","--","--","PC-98 / PC","Direct Download","50","","2023-10-04 23:29:47","2023-10-24 12:29:32"
"Touhou Youyoumu ~ Perfect Cherry Blossom","PC","","","","","","","X","","","2026-02-08","2026-02-10","First-Play","--","3:59:00","Normal Mode - Sakuya A - Bad Ending","--","","--","","--","","--","","--","--","","Direct Download","60","","2026-02-08 08:10:55","2026-02-10 03:14:40"
"Touhou Yumejikuu ~ The Phantasmagoria of Dim.Dream","Emulated","","","","","","","X","","","2024-09-21","2024-09-23","First-Play","--","00:42:00","Reimu ending","--","","--","","--","","--","","--","--","PC-98 / PC","Direct Download","50","","2024-09-23 20:22:57","2024-10-30 12:29:39"
"Toy Story 3: The Video Game","PlayStation Portable","","","","","","","X","","","","2019-11-06","First-Play","5:12:00","5:12:00","","--","","--","","--","","--","","--","--","","Direct Download","30","","2021-07-19 20:33:34","2023-05-09 22:51:16"
"Track & Field","Emulated","","","","","","","X","","","2025-01-04","2025-01-04","First-Play","--","00:21:00","NES version","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2025-01-03 23:24:54","2025-01-03 23:25:49"
"Trails in the Sky 1st Chapter","PC","X","","","","","","","","","2026-01-12","","","52:49:00","--","","--","","--","","--","","--","","--","--","","Steam","70","","2026-01-12 08:45:08","2026-04-05 19:09:26"
"Travis Strikes Again: No More Heroes - Complete Edition","PlayStation 4","","","","","","","X","","","2024-12-09","2024-12-12","First-Play","--","7:49:00","Main Story","--","","--","","--","","--","","--","--","","PlayStation Plus","60","","2024-12-09 13:57:12","2026-02-20 00:25:26"
"Trials of Mana","Emulated","","","","","","","","X","the menus are very slow and overall it feels like you re not actually playing the game","2026-03-01","","","9:13:00","--","","--","","--","","--","","--","","--","--","SNES / PC","Direct Download","50","","2026-03-01 03:11:52","2026-03-16 17:52:45"
"Turbo Overkill","PC","","","","","","","X","","","","2023-08-16","First-Play","10:06:00","10:06:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-08-15 18:23:06","2023-08-16 03:26:03"
"Ultra Street Fighter IV","PC","","","","","","","X","","","2025-10-01","2025-10-01","First-Play","--","1:59:00","Beat with Elena","--","","--","","--","","--","","--","--","","Steam","50","","2025-10-01 18:38:36","2025-10-01 18:39:42"
"Uncharted 2: Among Thieves","PlayStation 4","","","","","","","X","","","","2023-08-19","First-Play","--","8:30:00","","--","","--","","--","","--","","--","--","","PlayStation Store","40","","2023-08-19 07:14:33","2023-09-24 23:16:15"
"Uncharted 3: Drake's Deception","PlayStation 4","","","","","","","X","","","","2024-05-15","First-Play","--","9:05:00","","--","","--","","--","","--","","--","--","","PlayStation Store","50","","2024-05-12 10:03:56","2024-05-15 15:59:30"
"Uncharted: Drake's Fortune","PlayStation 4","","","","","","","X","","","","2020-05-02","First-Play","--","10:25:00","","--","","--","","--","","--","","--","--","","PlayStation Store","30","","2021-07-19 21:04:45","2023-05-09 23:03:09"
"Virtua Fighter","Emulated","","","","","","","X","","","2025-01-08","2025-01-08","First-Play","--","00:40:00","Beat the game with Lau","--","","--","","--","","--","","--","--","Sega Model 1 / PC","Direct Download","30","","2025-01-08 08:02:21","2025-01-10 20:50:44"
"Virtua Fighter 2","Emulated","","","","","","","X","","","2025-01-10","2025-01-10","First-Play","--","00:33:00","Beat the game with Lau","--","","--","","--","","--","","--","--","SS / PC","Direct Download","30","","2025-01-10 17:32:54","2025-01-10 20:51:03"
"Virtua Fighter 3tb","Emulated","","","","","","","X","","","2025-07-28","2025-07-28","First-Play","--","00:30:00","Normal mode with Akira","--","","--","","--","","--","","--","--","DC / PC","Direct Download","50","","2025-07-28 20:29:38","2025-07-28 20:45:58"
"Virtua Fighter 4: Evolution","Emulated","","","","","","","X","","","2025-07-31","2025-07-31","First-Play","--","00:40:00","Arcade mode with Shun Di","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2025-07-30 21:41:29","2025-07-31 00:20:44"
"Virtua Fighter 5","Emulated","","","","","","","X","","","2025-07-31","2025-07-31","First-Play","--","00:39:00","Arcade mode with Eileen","--","","--","","--","","--","","--","--","PS3 / PC","Direct Download","50","","2025-07-31 00:11:17","2025-07-31 00:21:33"
"Virtua Fighter Kids","Emulated","","","","","","","X","","","2025-08-01","2025-08-01","First-Play","--","00:22:00","Arcade mode with Pai","--","","--","","--","","--","","--","--","SS / PC","Direct Download","30","","2025-07-31 23:02:06","2025-08-01 06:23:37"
"Volfied","Emulated","","","","","","","X","","","2024-11-16","2024-11-16","First-Play","--","00:53:00","Cleared 15 levels","--","","--","","--","","--","","--","--","DOS / PC","Direct Download","50","","2024-11-16 06:01:13","2024-11-16 13:24:41"
"VR Kanojo","PC VR","","","","","","","X","","","","2023-07-11","First-Play","--","00:34:00","","--","","--","","--","","--","","--","--","","Direct Download","40","","2023-07-11 22:11:03","2023-07-11 22:11:03"
"Wanted: Dead","PC","","","","","","","","X","Feels cheap.","2025-10-26","","","1:16:00","--","","--","","--","","--","","--","","--","--","","Direct Download","0","","2025-10-26 13:36:42","2025-10-26 13:39:17"
"Warhammer 40,000: Space Marine II","PlayStation 5","X","","","","","","","","","2026-03-24","","","4:20:00","--","","--","","--","","--","","--","","--","--","","PlayStation Plus","50","","2026-03-25 01:14:41","2026-03-25 01:15:23"
"WarioWare, Inc.: Mega Microgame$!","Emulated","","","","","","","X","","","2026-03-29","2026-03-29","Replay","--","1:24:00","","--","","--","","--","","--","","--","--","GBA / PC","Direct Download","70","","2026-03-29 07:28:52","2026-03-29 07:30:30"
"WarioWare, Inc.: Mega Party Games!","Wii","","","","","","","X","","","","2024-01-28","First-Play","--","2:43:00","","--","","--","","--","","--","","--","--","","Direct Download","70","","2024-01-28 12:08:09","2024-01-28 12:08:40"
"Wet","Emulated","","","","","","","X","","","2025-10-22","2025-10-26","First-Play","--","5:38:00","","--","","--","","--","","--","","--","--","X360 / PC","Direct Download","50","","2025-10-22 04:01:31","2025-10-26 08:17:36"
"WHAT THE GOLF?","PC","","","","","","","X","","","","2022-10-24","First-Play","--","--","","5:43:15","","--","","--","","--","","--","--","","Steam","60","","2022-10-24 20:04:10","2023-07-09 11:21:06"
"World of Goo","PC","","","","","","","X","","","","2024-04-01","First-Play","--","--","","4:22:00","","--","","--","","--","","--","--","","Steam","60","","2024-03-31 23:10:57","2024-03-31 23:12:12"
"Wuchang: Fallen Feathers","PC","","","","","","","","X","Flashy movesets but weapons zero functionality and clunky gameplay.","2025-07-24","","","1:07:00","--","","--","","--","","--","","--","","--","--","","Xbox Game Pass","0","","2025-07-24 14:09:43","2025-07-24 14:19:13"
"X-Men vs. Street Fighter","Emulated","","","","","","","X","","","2025-09-29","2025-09-29","First-Play","--","00:23:00","Beat with Wolverine and Gambit","--","","--","","--","","--","","--","--","Capcom Play System 2 / PC","Direct Download","50","","2025-09-29 06:01:09","2025-09-29 06:02:19"
"XCOM: Enemy Unknown","PC","","","","","","","","X","Save Corrupted","2025-07-06","","","8:08:00","--","","--","","--","","--","","--","","--","--","","Steam","70","","2025-07-06 15:56:23","2025-08-14 17:52:33"
"Yakuza","Emulated","","","","","","","X","","","2025-10-26","2025-11-13","First-Play","--","15:38:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","70","","2025-10-26 15:17:18","2025-11-12 21:26:45"
"Zelda II: The Adventure of Link","Emulated","","","","","","","","X","core gimmick is good but it's really hard.","2025-10-27","","","1:10:00","--","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2025-10-27 13:56:10","2025-10-28 12:18:22"
"Zup!","PC","","","","","","","X","","","","2021-08-31","First-Play","--","00:14:00","","--","","--","","--","","--","","--","--","","Steam","40","","2021-08-31 07:32:19","2023-05-09 23:04:17"
"Zup! 2","PC","","","","","","","X","","","","2022-07-18","Replay","3:28:00","3:28:00","","--","","--","","--","","--","","--","--","","Steam","40","","2022-07-18 17:12:40","2023-05-09 23:04:23"
"巫兎 - KANNAGI USAGI -","PC","","","","","","","X","","","","2023-11-10","First-Play","--","2:54:00","","--","","--","","--","","--","","--","--","","Steam","70","","2023-11-08 15:04:44","2023-11-10 06:02:34"
